ControlAreaUnitId,ControlArea,StationId,RemoteUnit
221,N070,92,R012
222,N071,92,R013
223,N072,92,R012
224,N073,92,R013
225,N075,72,R111
226,N076,72,R111
227,N077,72,R111
228,N078,26,R175
229,N080,441,R138
230,N083,441,R138
231,N086,422,R282
232,N087,422,R282
233,N089,230,R139
234,N090,230,R139
235,N091,241,R029
236,N092,241,R029
237,N094,456,R029
238,N095,300,R014
239,N100,321,R252
240,N101,321,R252
241,N102,336,R127
242,N103,336,R127
243,N108,325,R217
244,N110,350,R283
245,N111,253,R284
246,N112A,253,R284
247,N113,294,R297
248,N114,294,R297
249,N116,387,R198
250,N117,387,R198
251,N118,347,R199
252,N119,347,R199
253,N120,435,R153
254,N120A,435,R153
255,N121B,407,R438
256,N122,410,R439
257,N123B,410,R439
258,N124,220,R103
259,N125,354,R440
260,N126,438,R441
261,N127,418,R442
262,N128,281,R200
263,N129,313,R382
264,N130,148,R383
265,N131,148,R383
266,N133,157,R384
267,N134,412,R385
268,N135,412,R385
269,N137,7,R354
270,N138,10,R355
271,N139,10,R355
272,N141,390,R356
273,N181,167,R357
274,N181A,166,R464
275,N182,323,R414
276,N183,216,R415
277,N184,198,R416
278,N185,199,R417
279,N186,192,R418
280,N187,413,R419
281,N191,197,R335
282,N192,196,R336
283,N193,195,R337
284,N194,194,R338
285,N195,193,R358
286,N196,282,R285
287,N202,35,R315
288,N203,38,R195
289,N205,38,R195
290,N206,41,R104
291,N207,41,R104
292,N208,46,R443
293,N209,46,R443
294,N210,49,R253
295,N212,49,R253
296,N213,433,R154
297,N215,58,R237
298,N217,287,R112
299,N218,287,R112
300,N220,344,R155
301,N221,344,R155
302,N222,201,R156
303,N223,201,R156
304,N224,386,R157
305,N225,386,R157
306,N300,133,R113
307,N301,133,R113
308,N303,109,R015
309,N304,109,R015
310,N305,120,R017
311,N305A,120,R016
312,N306,120,R017
313,N307,259,R359
314,N309A,405,R140
315,N310,405,R140
316,N311,96,R339
317,N312,96,R339
318,N314,425,R238
319,N315,425,R238
320,N316,104,R267
321,N316A,104,R267
322,N317,104,R267
323,N318,384,R298
324,N319,384,R298
325,N322,127,R340
326,N323,331,R018
327,N324,331,R018
328,N325A,280,R218
329,N327,307,R254
330,N329,453,R201
331,N329A,453,R201
332,N330B,126,R202
333,N330C,126,R202
334,N331,129,R219
335,N332,129,R219
336,N333,290,R141
337,N333A,290,R141
338,N333B,290,R141
339,N334B,139,R341
340,N335,340,R158
341,N336,340,R158
342,N337,214,R255
343,N338,427,R128
344,N338B,427,R128
345,N339,395,R114
346,N339A,395,R114
347,N340,45,R115
348,N340A,45,R115
349,N342,333,R019
350,N343,333,R019
351,N400A,257,R359
352,N401,66,R360
353,N405,314,R239
354,N408A,374,R256
355,N409,361,R268
356,N412,219,R299
357,N414,285,R316
358,N414A,285,R316
359,N415,372,R286
360,N416,372,R286
361,N417,203,R269
362,N418,203,R269
363,N419,250,R287
364,N420B,252,R317
365,N422,300,R318
366,N500,106,R020
367,N501,106,R020
368,N501A,106,R020
369,N502,102,R021
370,N503,102,R021
371,N504,102,R021
372,N505,90,R022
373,N506,91,R022
374,N507,91,R023
375,N508,72,R453
376,N509,72,R203
377,N510,26,R163
378,N511,25,R163
379,N512,25,R163
380,N513,25,R163
381,N519,185,R461
382,N519A,185,R461
383,N520,312,R240
384,N521,62,R300
385,N523,62,R300
386,N525,267,R142
387,N526,268,R142
388,N528,276,R257
389,N529,276,R257
390,N530,457,R301
391,N531,204,R129
392,N532,204,R129
393,N533,204,R129
394,N534,234,R220
395,N535,234,R220
396,N536,420,R270
397,N537,99,R258
398,N539A,133,R288
399,N541,34,R241
400,N542,34,R241
401,N543,293,R289
402,N544,293,R289
403,N545,246,R204
404,N546,246,R204
405,N547,269,R420
406,N548,269,R420
407,N549,54,R242
408,N550,54,R242
409,N551,176,R421
410,N553,189,R422
411,N554,179,R423
412,N555,179,R423
413,N556,180,R424
414,N557,343,R130
415,N558,343,R130
416,N559,183,R425
417,N561,184,R271
418,N562,376,R426
419,N600,117,R302
420,N601,352,R319
421,N602,414,R259
422,N603,66,R303
423,N604,334,R342
424,N605,427,R024
425,N606,332,R025
426,N607,332,R025
427,OB01,396,R459
447,R101S,448,R001
448,R102,409,R304
449,R103,409,R304
450,R110,443,R027
451,R111,443,R027
452,R112,443,R027
453,R112A,443,R027
454,R113,302,R028
455,R113A,302,R028
456,R114,302,R028
457,R115,392,R029
458,R116,242,R030
459,R117,296,R343
460,R118,296,R343
461,R119,231,R320
462,R120,231,R320
463,R121,322,R290
464,R122,322,R290
465,R123,322,R290
466,R124,322,R290
467,R125,244,R189
468,R126,244,R189
469,R127,27,R105
470,R128,27,R105
471,R129,55,R321
472,R130,55,R321
473,R131,74,R190
474,R132,74,R190
475,R133,82,R272
476,R134,82,R272
477,R135,93,R031
478,R137,93,R031
479,R138,93,R293
480,R139,93,R031
481,R141,93,R031
482,R142,93,R293
483,R143,431,R032
484,R145,432,R032
485,R147,432,R033
486,R148,432,R033
487,R151,432,R033
488,R154,112,R116
489,R155,112,R116
490,R158,122,R084
491,R159,128,R164
492,R160,128,R164
493,R160A,128,R164
494,R161A,137,R452
495,R161B,137,R452
496,R162,144,R166
497,R163,144,R166
498,R164,155,R167
499,R165,155,R167
500,R166,155,R167
501,R168,162,R168
502,R168A,162,R168
503,R170,3,R191
504,R171,237,R192
505,R172,237,R192
506,R173,15,R159
507,R174,18,R034
508,R175,23,R169
509,R176,23,R169
510,R177,31,R273
511,R178,31,R273
512,R179,37,R193
513,R180,37,R193
514,R182,44,R035
515,R183,57,R260
516,R185,61,R274
517,R186,271,R036
518,R188,65,R037
519,R190,68,R038
520,R192,359,R039
521,R194,76,R040
522,R196,78,R306
523,R197,436,R117
524,R200A,213,R041
525,R201,213,R041
526,R202,213,R042
527,R203,443,R043
528,R203A,443,R043
529,R204,443,R043
530,R204A,443,R043
531,R205,300,R014
532,R205A,302,R014
533,R208,302,R014
534,R210,223,R044
535,R210A,248,R044
536,R215,423,R322
537,R216,423,R322
538,R217,208,R194
539,R219,168,R160
540,R220,168,R160
541,R221,28,R170
542,R226,74,R131
543,R226A,74,R131
544,R227,74,R131
545,R227A,74,R131
546,R228,82,R143
547,R229,82,R143
548,R230,82,R143
549,R231,88,R176
550,R231A,88,R176
551,R232,88,R176
552,R232A,88,R176
553,R236,309,R045
554,R237,309,R046
555,R237B,309,R047
556,R238,309,R046
557,R240,309,R047
558,R241A,309,R048
559,R242,113,R049
560,R242A,113,R049
561,R243,113,R049
562,R244,120,R050
563,R244A,120,R050
564,R245,120,R051
565,R245A,120,R051
566,R246,130,R177
567,R247,142,R178
568,R248,142,R178
569,R249,155,R179
570,R250,155,R179
571,R251,162,R144
572,R252,3,R180
573,R253,8,R181
574,R254,8,R181
575,R256,13,R182
576,R257,13,R182
577,R258,18,R132
578,R259,24,R307
579,R260,33,R205
580,R261,33,R205
581,R262,38,R195
582,R262A,39,R195
583,R262B,39,R195
584,R283,42,R221
585,R284,47,R243
586,R285,370,R308
587,R286,51,R309
588,R287,226,R244
589,R288,59,R275
590,R289,288,R119
591,R290,345,R161
592,R291,202,R183
593,R293,369,R133
594,R294,454,R052
595,R301,8,R323
596,R302,13,R324
597,R303,13,R324
598,R304,18,R206
599,R305,18,R206
600,R306,22,R207
601,R307,22,R207
602,R308,31,R344
603,R309,319,R345
604,R310,273,R053
605,R311,273,R053
606,R312,330,R405
607,R314,403,R406
608,R315,403,R406
609,R316,328,R407
610,R317,419,R408
611,R318,419,R408
612,R319,297,R409
613,R320,297,R409
614,R321,48,R386
615,R322,48,R386
616,R323,446,R387
617,R325,274,R388
618,R326,221,R389
619,R327,398,R361
620,R328,398,R361
621,R329,165,R362
622,R330,225,R363
623,R331,315,R364
624,R332,69,R365
625,R333,70,R366
626,R334,77,R367
627,R335,78,R444
628,R336,442,R145
629,R401,85,R445
630,R402,222,R446
631,R403,222,R446
632,R404,263,R447
633,R405,263,R447
634,R406,272,R448
635,R407,272,R448
636,R408,273,R449
637,R409,273,R449
638,R410,356,R450
639,R411,356,R450
640,R412,327,R146
641,R414,279,R162
642,R416,424,R245
643,R417,393,R222
644,R418,235,R106
645,R419,458,R326
646,R420,447,R107
647,R421,364,R427
648,R422,224,R428
649,R423,396,R429
650,R501,108,R054
651,R503,440,R276
652,R504,440,R276
653,R506,440,R276
654,R507,326,R134
655,R508,258,R346
656,R509,406,R121
657,R510,97,R090
658,R511,94,R091
659,R512,218,R092
660,R513,87,R093
661,R514,169,R094
662,R515,170,R095
663,R516,89,R291
664,R517,89,R291
665,R518,100,R261
666,R519,105,R223
667,R520,105,R223
668,R521,114,R327
669,R523,455,R147
670,R524,131,R347
671,R525,138,R018
672,R526,150,R096
673,R527,159,R122
674,R528,338,R097
675,R529,5,R208
676,R530,11,R310
677,R532,362,R328
678,R532H,362,R328
679,R533,286,R055
680,R534,286,R055
681,R600,249,R224
682,R601A,209,R108
683,R602,209,R108
684,R604,209,R108
685,R605,324,R456
686,R606,324,R225
687,R608,378,R056
688,R609,378,R056
689,R610,173,R057
690,R617,205,R058
691,R618,205,R058
692,R619,306,R059
693,R621,278,R060
694,R622,295,R123
695,R623,388,R061
696,R624,346,R124
697,R625,262,R062
698,R626,262,R062
699,R627,430,R063
700,R628,415,R064
701,R629,411,R065
702,R630,339,R066
703,R632,399,R067
704,R633,439,R068
705,R634,380,R069
706,R635,400,R277
707,R636,426,R209
708,R637,451,R451
709,R639,247,R109
710,R641,207,R210
711,R643,383,R135
712,R644,383,R135
713,R645,283,R110
714,R646,283,R110
715,R647,283,R110
716,R726,367,R329
717,R727,397,R430
718,R728,315,R226
719,R729,191,R292
720,R730,277,R431
